[INFO] Connecting to vehicle at 127.0.0.1:14550 ...
[INFO] Setting GUIDED mode ...
[INFO] Arming motors ...
[INFO] Taking off to 15.0 m ...
[TAKEOFF] Alt: 0.23 m
[INFO] Target altitude reached (≈95%).
[INFO] Loading YOLO model: yolo11l.pt
[INFO] Entering detection + control loop ... (press 'q' to quit window)
[CONTROL] det_conf=0.89 | err_x=194.8px err_y=-108.8px | cmd vx=5.00 vy=3.00 vz=-3.26 | meas vx=0.00 vy=0.01 vz=0.00 | Alt=-0.15
[CONTROL] det_conf=0.91 | err_x=172.3px err_y=-109.2px | cmd vx=5.00 vy=3.00 vz=-3.28 | meas vx=0.00 vy=0.00 vz=0.00 | Alt=-0.13
[CONTROL] det_conf=0.92 | err_x=167.8px err_y=-109.2px | cmd vx=5.00 vy=3.00 vz=-3.28 | meas vx=0.00 vy=0.00 vz=0.00 | Alt=-0.13
[CONTROL] det_conf=0.93 | err_x=162.8px err_y=-109.3px | cmd vx=5.00 vy=3.00 vz=-3.28 | meas vx=0.00 vy=0.01 vz=0.00 | Alt=-0.12
[CONTROL] det_conf=0.91 | err_x=134.0px err_y=-109.5px | cmd vx=5.00 vy=2.68 vz=-3.28 | meas vx=0.00 vy=0.01 vz=0.00 | Alt=-0.12
[CONTROL] det_conf=0.92 | err_x=124.1px err_y=-109.5px | cmd vx=5.00 vy=2.48 vz=-3.28 | meas vx=0.00 vy=0.01 vz=0.00 | Alt=-0.11
[CONTROL] det_conf=0.93 | err_x=108.1px err_y=-107.2px | cmd vx=5.00 vy=2.16 vz=-3.22 | meas vx=0.00 vy=0.01 vz=0.00 | Alt=-0.11
[CONTROL] det_conf=0.92 | err_x=99.4px err_y=-105.2px | cmd vx=5.00 vy=1.99 vz=-3.16 | meas vx=0.00 vy=0.01 vz=0.00 | Alt=-0.10
[CONTROL] det_conf=0.91 | err_x=94.1px err_y=-105.9px | cmd vx=5.00 vy=1.88 vz=-3.18 | meas vx=0.00 vy=0.01 vz=0.00 | Alt=-0.10
[CONTROL] det_conf=0.88 | err_x=73.9px err_y=-106.1px | cmd vx=5.00 vy=1.48 vz=-3.18 | meas vx=-0.01 vy=0.01 vz=-0.01 | Alt=-0.09
[CONTROL] det_conf=0.89 | err_x=68.3px err_y=-105.8px | cmd vx=5.00 vy=1.37 vz=-3.17 | meas vx=-0.01 vy=0.01 vz=-0.01 | Alt=-0.09
[CONTROL] det_conf=0.91 | err_x=53.9px err_y=-103.9px | cmd vx=5.00 vy=1.08 vz=-3.12 | meas vx=-0.01 vy=0.01 vz=-0.01 | Alt=-0.08
[CONTROL] det_conf=0.90 | err_x=51.3px err_y=-102.6px | cmd vx=5.00 vy=1.03 vz=-3.08 | meas vx=-0.01 vy=0.01 vz=-0.01 | Alt=-0.08
